,,,,,,,,,,,,,,,,,,,,,,,,
combinations,,category,examples,approx combinations,in words,,,"time to crack (brute force attack*, single operator, 11bn guesses / sec)",,,,,,,,,relative length corresponding to password strength,,,,equivalent to,,,by power
,,abcdefghijklmnopqrstuvwxyz ,,keyspace,short scale,,< second,seconds,mins,hrs,days,years,centuries,millenia,million years,,mm,cm,m,km,,,,
very weak,,5 lowercase alpha,hello ,"12,000,000",12 million,,0.000,,,,,,,,,,0.0008,0,0,0,,,,1.24 x 10^7
,,4 alphanumeric with capitals,L0lz,"15,000,000",15 million,,0.000,,,,,,,,,,0.001,0,0,0,,,,1.50 x 10^7
,,4 alphanumeric + caps + special characters,L0l!,"82,000,000",82 million,,0.00,,,,,,,,,,0.005,0,0,0,,,,8.23 x 10^7
weak,,6 lowercase alpha,spider,"300,000,000",300 million,,0.01,,,,,,,,,,0.02,0,0,0,,,,3.21 x 10^8
,,5 alpha with caps,Hello,"400,000,000",400 million,,0.01,,,,,,,,,,0.03,0,0,0,,,,3.88 x 10^8
,,,go on,"700,000,000",700 million,,0.02,,,,,,,,,,0.05,0,0,0,,,,7.27 x 10^8
,,5 alphanumeric with capital,Hell0,"900,000,000",900 million,,0.03,,,,,,,,,,0.06,0,0,0,,,,9.31 x 10^8
medium weak,,5 alphanumeric + caps + special characters,Hel|0,"7,800,000,000",7.8 billion,,0.24,,,,,,,,,,0.5,0,0,0,,,,7.82 x 10^9
,,7 lowercase alpha,paprika,"8,400,000,000",8.4 billion,,0.25,,,,,,,,,,0.6,0,0,0,,,,8.35 x 10^9
high weak,,6 alpha with caps,Spider,"20,000,000,000",20 billion,,0.6,,,,,,,,,,1.3,0,0,0,,,,2.02 x 10^10
,,6 alphanumeric with capitals,Sp1der,"58,000,000,000",58 billion,,,1.8,,,,,,,,,3.9,0,0,0,,,,5.77 x 10^10
very low medium,,8 lowercase alpha,bearhugs,"217,180,147,158 ",217 billion,,,6.6,,,,,,,,,15,1.5,0,0,,,,2.17 x 10^11
,,6 alphanumeric + caps + special characters,Sp1d*r,"742,912,017,120",750 billion,,,22.4,,,,,,,,,,5.0,0,0,,,,7.43 x 10^11
low medium,,7 alpha with caps,Paprika,"1,048,229,971,204",1 trillion,,,31.67,,,,,,,,,,7.0,0,0,,,,1.05 x 10^12
,,Short word passphrase,hack me,"2,531,559,269,039 ",2.5 trillion,,,76.48,1.27,,,,,,,,,16.9,0,0,,,,2.53 x 10^12
,,7 alphanumeric with capitals,Papr1ka,"3,579,345,993,194",3.6 trillion,,,108.14,1.80,,,,,,,,,24,0,0,,,,3.58 x 10^12
,,9 lowercase alpha,socialite,"5,646,683,826,134",5.7 trillion,,,170.59,2.84,,,,,,,,,38,0,0,,,,5.65 x 10^12
,,,h8ck me,"7,555,858,447,479 ",7.6 trillion,,,228.27,3.80,,,,,,,,,51,1,0,,,,7.56 x 10^12
medium,,,Hack Me,"32,439,348,218,935",32.4 trillion,,,980.04,16.33,,,,,,,,,,2.2,0,,,,3.24 x 10^13
,,8 alpha with caps,Bearhugs,"54,507,958,502,660 ",54.5 trillion,,,"1,646.77",27.45,0.46,,,,,,,,,3.6,0,,,,5.45 x 10^13
,,7 alphanumeric + caps + special characters,"Papr1k@, H8ck Me","70,576,641,626,495",70.6 trillion,,,"2,132.22",35.54,0.59,,,,,,,,,4.7,0,,,,7.06 x 10^13
,,10 lowercase alpha,everything,"146,813,779,479,510 ",147 trillion,,,"4,435.46",73.92,1.23,,,,,,,,,9.8,0,,,,1.47 x 10^14
,,passphrase+ special character,hack me!,"149,361,996,873,360 ",149 trillion,,,"4,512.45",75.21,1.25,,,,,,,,,10.0,0,,,,1.49 x 10^14
,,8 alphanumeric with capitals,B3arhugs,"221,919,451,578,090",222 trillion,,,"6,704.52",111.74,1.86,,,,,,,,,14.8,0,"silver medal in women's Olympic triple jump, London 2012 (14.80m)",,,2.22 x 10^14
high medium,,,Hack Me!,"2,757,344,598,609,560",2.8 quadrillion,,,"83,303.46","1,388.39",23.14,,,,,,,,,184.4,0,,,,2.78 x 10^15
,,9 alpha with caps,SoCIALITE,"2,834,413,842,138,372",2.8 quadrillion,,,"85,631.84","1,427.20",23.79,,,,,,,,,190,0,,,,2.83 x 10^15
,,11 lowercase alpha,netherworld,"3,817,158,266,467,286 ",3.8 quadrillion,,,"115,322.00","1,922.03",32.03,,,,,,,,,255,0,,,,3.82 x 10^15
,,,,"6,634,204,312,890,620",6.6 quadrillion,,,"200,429.13","3,340.49",55.67,2.3,,,,,,,,444,0,,,,6.63 x 10^15
,,8 alphanumeric + caps + special characters,B3arhug$,"6,704,780,954,517,120",6.7 quadrillion,,,"202,561.36","3,376.02",56.27,2.3,,,,,,,,448,0,,,,6.70 x 10^15
,,9 alphanumeric with capitals,5oCIALITE,"13,759,005,997,841,642 ",13 quadrillion,,,"415,679.94","6,928.00",115.47,4.8,,,,,,,,920,1,,,,1.38 x 10^16
low strong,,12 lowercase alpha,candleholder,"99,246,114,928,149,462",99 quadrillion,,,"2,998,372.05","49,972.87",832.88,35,,,,,,,,,6.6,,,,9.92 x 10^16
,,10 alpha with caps,Everything,"147,389,519,791,195,396 ",147 quadrillion,,,"4,452,855.58","74,214.26","1,236.90",52,,,,,,,,,9.9,,,,1.47 x 10^17
medium strong,,,hackez moi,"519,929,111,116,169,700",519 quadrillion,,,"15,707,828.13","261,797.14","4,363.29",182,0.5,,,,,,,,35,,,,5.20 x 10^17
,,9 alphanumeric + caps + special characters,5oCIAL!TE,"636,954,190,679,126,495",640 quadrillion,,,"19,243,329.02","320,722.15","5,345.37",223,0.6,,,,,,,,43,distance London-Guildford,,,6.37 x 10^17
,,10 alphanumeric with capitals,Everyth1ng,"853,058,371,866,181,866",850 quadrillion,,,"25,772,156.25","429,535.94","7,158.93",298,0.8,,,,,,,,57,,,,8.53 x 10^17
,,13 lowercase alpha,invincibility,"2,580,398,988,131,886,038",2.6 quintillion,,,"77,957,673.36","1,299,294.56","21,654.91",902.29,2.5,,,,,,,,173,,,,2.58 x 10^18
,,11 alpha with caps,NETHERworld,"7,664,255,029,142,160,644 ",7.7 quintillion,,,"231,548,490.31","3,859,141.51","64,319.03","2,679.96",7.3,,,,,,,,513,,,,7.66 x 10^18
very strong,,,hack me not,"30,675,817,555,854,012,359 ",31 quintillion,,,"926,761,859.69","15,446,030.99","257,433.85","10,726.41",29,,,,,,,,"2,051",,,,3.07 x 10^19
,,11 alphanumeric with capitals,NETHERw0rld,"52,889,619,055,703,275,754",53 quintillion,,,"1,597,873,687.48","26,631,228.12","443,853.80","18,493.91",51,,,,,,,,"3,537",distance London-Cairo,,,5.29 x 10^19
,,10 alphanumeric + caps + special characters,Ev£ryth1ng,"60,510,648,114,517,017,120",61 quintillion,,,"1,828,116,257.24","30,468,604.29","507,810.07","21,158.75",58,,,,,,,,"4,046",distance London-Baghdad,,,6.05 x 10^19
,,14 lowercase alpha,"simultaneously, anticapitalist","67,090,373,691,429,037,014 ",67 quintillion,,,"2,026,899,507.29","33,781,658.45","563,027.64","23,459.49",64,,,,,,,,"4,486",,,,6.71 x 10^19
nigh on uncrackable,,12 alpha with caps,CandleHolder,"398,541,261,515,392,353,540 ",399 quintillion,,,"12,040,521,495.93","200,675,358.27","3,344,589.30","139,357.89",382,3.82,,,,,,,"26,650",length of Africa's coastline,,,3.99 x 10^20
,,15 lowercase alpha,"acknowledgement, counterexamples","1,744,349,715,977,154,962,390",1.7 sextillion,,,"52,699,387,189.64","878,323,119.83","14,638,718.66","609,946.61","1,670",16.70,,,,,,,"116,644",,,,1.74 x 10^21
,,,"hey, hackers","1,809,873,235,795,386,729,240",1.8 sextillion,,,"54,678,949,721.91","911,315,828.70","15,188,597.14","632,858.21","1,733",17.33,,,,,,,"121,025",,,,1.81 x 10^21
,,12 alphanumeric with capitals,Cand1eHolder,"3,279,156,381,453,603,096,810",3.3 sextillion,,,"99,068,168,623.98","1,651,136,143.73","27,518,935.73","1,146,622.32","3,139",31.39,,,,,,,"219,275",,,,3.28 x 10^21
,,11 alphanumeric + caps + special characters,ÑETHERw0rld,"5,748,511,570,879,116,626,495",5.75 sextillion,,,"173,671,044,437.44","2,894,517,407.29","48,241,956.79","2,010,081.53","5,503",55.03,,,,,,,"384,400",earth-moon distance,,,5.75 x 10^21
,,,check it out!,"106,782,520,911,927,817,025,219",107 sextillion,,,"3,226,058,033,592.96","53,767,633,893.22","896,127,231.55","37,338,634.65","102,228","1,022.28",10.22,,,,,,"7,140,492",,,,1.07 x 10^23
,,,i'm invincible...,"1,293,922,354,379,878,564,836,537,053,339",1.3 nonillion,,,"39,091,309,799,996,100,000.00","651,521,829,999,935,000.00","10,858,697,166,665,600.00","452,445,715,277,732.00","1,238,728,857,708","12,387,288,577.08","123,872,885.77",1238.728858,,,,,"86,523,919,607,864",,,,1.29 x 10^30
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
password cracking speeds per sec,,,,,,,,,,,,,,,,,,,,,,,,
online attack,,,,"1,000",1 thousand,,,,,,,,,,,,,,,,,,,
"offline, single operator, GPU",,,,"33,100,000,000",33.1 billion,,,,,,,,,,,,,,,,,,,
"offline, fast attack",,,,"100,000,000,000",100 billion,,,,,,,,,,,,,,,,,,,
